datetime,open,high,low,close,volume
2022-01-13 14:00:00,28520,28535,28435,28445,54922
2022-01-13 15:00:00,28450,28550,28450,28550,28798
2022-01-13 16:00:00,28710,28735,28700,28705,12278
2022-01-13 17:00:00,28705,28725,28615,28615,41919
2022-01-13 18:00:00,28610,28700,28605,28700,24669
2022-01-13 19:00:00,28695,28700,28640,28675,14404
2022-01-13 20:00:00,28680,28695,28660,28660,15227
2022-01-13 21:00:00,28660,28695,28655,28690,13377
2022-01-13 22:00:00,28690,28780,28675,28750,45178
2022-01-13 23:00:00,28750,28775,28695,28770,44422
2022-01-14 00:00:00,28650,28660,28480,28520,48498
2022-01-14 01:00:00,28520,28555,28490,28540,22080
2022-01-14 02:00:00,28535,28535,28390,28420,35235
2022-01-14 03:00:00,28420,28460,28395,28445,15433
2022-01-14 04:00:00,28445,28460,28345,28375,19393
2022-01-14 05:00:00,28375,28375,28240,28260,23903
2022-01-14 06:00:00,28280,28280,28280,28280,1426
2022-01-14 08:00:00,28310,28325,28220,28260,30059
2022-01-14 09:00:00,28260,28260,27955,28095,213138
2022-01-14 10:00:00,28095,28140,27900,27915,108200
2022-01-14 11:00:00,27915,27975,27855,27965,89555
2022-01-14 12:00:00,27970,28015,27905,28000,65767
2022-01-14 13:00:00,27995,28165,27995,28055,87234
2022-01-14 14:00:00,28055,28110,28020,28090,60899
2022-01-14 15:00:00,28095,28190,28065,28190,31039
2022-01-14 16:00:00,28530,28545,28515,28525,13445
2022-01-14 17:00:00,28530,28595,28515,28540,31569
2022-01-14 18:00:00,28545,28575,28535,28565,12707
2022-01-14 19:00:00,28570,28605,28560,28570,13683
2022-01-14 20:00:00,28570,28580,28550,28555,10582
2022-01-14 21:00:00,28555,28565,28545,28550,6140
2022-01-14 22:00:00,28555,28620,28540,28615,18299
2022-01-14 23:00:00,28620,28670,28575,28645,38127
2022-01-17 00:00:00,28210,28220,28105,28140,63415
2022-01-17 01:00:00,28140,28210,28080,28190,53153
2022-01-17 02:00:00,28190,28220,28135,28135,27895
2022-01-17 03:00:00,28135,28225,28110,28220,24353
2022-01-17 04:00:00,28220,28255,28175,28215,23674
2022-01-17 05:00:00,28220,28320,28220,28290,19965
2022-01-17 06:00:00,28300,28300,28300,28300,3775
2022-01-17 08:00:00,28330,28360,28305,28315,22006
2022-01-17 09:00:00,28315,28435,28265,28385,136719
2022-01-17 10:00:00,28385,28405,28325,28340,55231
2022-01-17 11:00:00,28340,28345,28255,28300,40056
2022-01-17 12:00:00,28295,28355,28295,28335,25670
2022-01-17 13:00:00,28330,28345,28295,28310,22076
2022-01-17 14:00:00,28310,28350,28300,28310,36304
2022-01-17 15:00:00,28310,28340,28290,28340,15204
2022-01-17 16:00:00,28190,28210,28135,28145,23924
2022-01-17 17:00:00,28145,28255,28120,28180,56745
2022-01-17 18:00:00,28180,28260,28175,28240,27952
2022-01-17 19:00:00,28240,28260,28220,28250,17482
2022-01-17 20:00:00,28250,28285,28210,28220,22199
2022-01-17 21:00:00,28220,28225,28075,28080,41905
2022-01-17 22:00:00,28080,28130,28015,28070,55899
2022-01-17 23:00:00,28070,28215,28050,28210,78896
2022-01-18 00:00:00,28390,28405,28375,28395,9401
2022-01-18 01:00:00,28395,28400,28375,28380,3747
2022-01-18 02:00:00,28380,28390,28375,28385,2582
2022-01-18 03:00:00,28390,28395,28380,28390,623
2022-01-18 04:00:00,28390,28390,28380,28385,370
2022-01-18 05:00:00,28390,28400,28375,28380,1524
2022-01-18 06:00:00,28405,28405,28405,28405,1285
2022-01-18 08:00:00,28400,28445,28385,28440,18680
2022-01-18 09:00:00,28440,28545,28390,28545,122590
2022-01-18 10:00:00,28545,28570,28475,28550,69305
2022-01-18 11:00:00,28550,28730,28525,28655,66034
2022-01-18 12:00:00,28655,28680,28380,28460,123077
2022-01-18 13:00:00,28460,28490,28100,28235,156443
2022-01-18 14:00:00,28240,28280,28185,28230,78883
2022-01-18 15:00:00,28225,28275,28215,28250,15935
2022-01-18 16:00:00,28340,28350,28330,28335,8282
2022-01-18 17:00:00,28335,28350,28295,28340,17606
2022-01-18 18:00:00,28340,28385,28325,28380,15406
2022-01-18 19:00:00,28380,28390,28365,28370,10214
2022-01-18 20:00:00,28365,28390,28365,28385,8648
2022-01-18 21:00:00,28385,28395,28380,28395,6576
2022-01-18 22:00:00,28390,28400,28360,28365,11141
2022-01-18 23:00:00,28365,28390,28360,28385,11044
2022-01-19 00:00:00,28025,28125,28005,28065,62323
2022-01-19 01:00:00,28065,28090,27990,28070,33295
2022-01-19 02:00:00,28070,28075,27945,27955,28482
2022-01-19 03:00:00,27960,28025,27935,28015,18425
2022-01-19 04:00:00,28015,28095,27975,28070,17571
2022-01-19 05:00:00,28070,28100,27985,27990,17486
2022-01-19 06:00:00,28000,28000,28000,28000,1830
2022-01-19 08:00:00,27825,27880,27790,27795,37081
2022-01-19 09:00:00,27795,27860,27670,27725,186087
2022-01-19 10:00:00,27725,27860,27685,27695,114786
2022-01-19 11:00:00,27700,27750,27570,27605,81600
2022-01-19 12:00:00,27605,27645,27535,27580,77858
2022-01-19 13:00:00,27580,27645,27480,27495,72675
2022-01-19 14:00:00,27490,27535,27285,27425,167058
2022-01-19 15:00:00,27425,27515,27365,27515,41582
2022-01-19 16:00:00,28250,28305,28245,28290,19055
2022-01-19 17:00:00,28285,28285,28080,28145,73803
2022-01-19 18:00:00,28145,28155,27990,28060,52172
2022-01-19 19:00:00,28055,28105,28040,28075,26270
2022-01-19 20:00:00,28075,28100,28040,28090,20486
2022-01-19 21:00:00,28090,28105,28070,28100,16395
2022-01-19 22:00:00,28095,28100,28050,28080,18447
2022-01-19 23:00:00,28075,28085,27975,28025,58281
2022-01-20 00:00:00,27850,27855,27635,27690,70202
2022-01-20 01:00:00,27685,27725,27595,27720,52083
2022-01-20 02:00:00,27720,27810,27720,27800,29388
2022-01-20 03:00:00,27800,27805,27710,27735,18531
2022-01-20 04:00:00,27730,27745,27620,27695,29068
2022-01-20 05:00:00,27695,27745,27590,27600,21435
2022-01-20 06:00:00,27580,27580,27580,27580,2065
2022-01-20 08:00:00,27490,27500,27340,27345,36087
2022-01-20 09:00:00,27345,27705,27345,27495,218601
2022-01-20 10:00:00,27495,27560,27185,27475,205902
2022-01-20 11:00:00,27480,27645,27475,27620,75435
2022-01-20 12:00:00,27625,27740,27590,27735,86458
2022-01-20 13:00:00,27740,27810,27710,27750,62574
2022-01-20 14:00:00,27750,27865,27725,27750,105675
2022-01-20 15:00:00,27750,27790,27720,27790,21932
2022-01-20 16:00:00,27475,27495,27435,27490,27941
2022-01-20 17:00:00,27490,27680,27430,27670,82133
2022-01-20 18:00:00,27670,27770,27640,27760,49389
2022-01-20 19:00:00,27760,27775,27730,27770,28940
2022-01-20 20:00:00,27775,27810,27740,27800,34407
